sk_nue01.dat
      8.414 &      0.875 &           0.08147553
      9.441 &      0.875 &           0.05704235
     10.593 &      0.875 &           0.03429815
     11.885 &      0.875 &           0.02356011
     13.335 &      0.875 &           0.01649299
     14.962 &      0.875 &           0.01013615
     16.788 &      0.875 &           0.00685373
     18.836 &      0.875 &           0.00480763
     21.135 &      0.875 &           0.00346138
     23.714 &      0.875 &           0.00213132
     26.607 &      0.875 &           0.00170784
     29.854 &      0.875 &           0.00088341
     33.497 &      0.875 &           0.00071753
     37.584 &      0.875 &           0.00042990
     42.170 &      0.875 &           0.00024911
     47.315 &      0.875 &           0.00016156
     53.088 &      0.875 &           0.00010784
     59.566 &      0.875 &           0.00007072
     66.834 &      0.875 &           0.00004695
     74.989 &      0.875 &           0.00002387
     84.140 &      0.875 &           0.00002472
     94.406 &      0.875 &           0.00000893
    105.925 &      0.875 &           0.00001453
      0.106 &      0.825 &        1679.30090332
      0.119 &      0.825 &        1524.27587891
      0.133 &      0.825 &        1364.39794922
      0.150 &      0.825 &        1229.71984863
      0.168 &      0.825 &        1095.40258789
      0.188 &      0.825 &         971.16534424
      0.211 &      0.825 &         835.48406982
      0.237 &      0.825 &         725.22143555
      0.266 &      0.825 &         619.97460938
      0.299 &      0.825 &         517.62872314
      0.335 &      0.825 &         425.64437866
      0.376 &      0.825 &         353.73364258
      0.422 &      0.825 &         289.78509521
      0.473 &      0.825 &         235.72491455
      0.531 &      0.825 &         190.97427368
      0.596 &      0.825 &         147.31814575
      0.668 &      0.825 &         121.31346130
      0.750 &      0.825 &          92.54433441
      0.841 &      0.825 &          74.15457916
      0.944 &      0.825 &          55.03601456
      1.059 &      0.825 &          41.92118835
      1.189 &      0.825 &          32.57895279
      1.334 &      0.825 &          23.84055710
      1.496 &      0.825 &          17.48613358
      1.679 &      0.825 &          13.28455830
      1.884 &      0.825 &           9.45875931
      2.113 &      0.825 &           6.69102955
      2.371 &      0.825 &           4.85917521
      2.661 &      0.825 &           3.46937919
      2.985 &      0.825 &           2.49910831
      3.350 &      0.825 &           1.76905262
      3.758 &      0.825 &           1.19794786
      4.217 &      0.825 &           0.84080499
      4.732 &      0.825 &           0.58525133
      5.309 &      0.825 &           0.42500043
      5.957 &      0.825 &           0.25683260
      6.683 &      0.825 &           0.18210848
      7.499 &      0.825 &           0.12305315
      8.414 &      0.825 &           0.08207814
      9.441 &      0.825 &           0.06060786
     10.593 &      0.825 &           0.03651672
     11.885 &      0.825 &           0.02609595
     13.335 &      0.825 &           0.01923458
     14.962 &      0.825 &           0.01127462
     16.788 &      0.825 &           0.00682712
     18.836 &      0.825 &           0.00543700
     21.135 &      0.825 &           0.00343441
     23.714 &      0.825 &           0.00245154
     26.607 &      0.825 &           0.00193586
     29.854 &      0.825 &           0.00082818
     33.497 &      0.825 &           0.00056362
     37.584 &      0.825 &           0.00064293
     42.170 &      0.825 &           0.00028337
     47.315 &      0.825 &           0.00017212
     53.088 &      0.825 &           0.00014325
     59.566 &      0.825 &           0.00007021
     66.834 &      0.825 &           0.00004344
     74.989 &      0.825 &           0.00003380
     84.140 &      0.825 &           0.00002239
     94.406 &      0.825 &           0.00002828
    105.925 &      0.825 &           0.00000862
      0.106 &      0.775 &        1678.26489258
      0.119 &      0.775 &        1547.53015137
      0.133 &      0.775 &        1397.61206055
      0.150 &      0.775 &        1261.65869141
      0.168 &      0.775 &        1116.09936523
      0.188 &      0.775 &         963.66583252
      0.211 &      0.775 &         843.22521973
      0.237 &      0.775 &         737.16467285
      0.266 &      0.775 &         613.73809814
      0.299 &      0.775 &         531.51379395
      0.335 &      0.775 &         441.23641968
      0.376 &      0.775 &         361.26367188
      0.422 &      0.775 &         295.98013306
      0.473 &      0.775 &         238.99368286
      0.531 &      0.775 &         196.57369995
      0.596 &      0.775 &         150.78715515
      0.668 &      0.775 &         120.38344574
      0.750 &      0.775 &          97.67924500
      0.841 &      0.775 &          74.01686859
      0.944 &      0.775 &          57.76712036
      1.059 &      0.775 &          44.04607773
