KAM00
 3.981E-02 1304.04 1301.66  676.43  622.74  8032.96  8212.64  4029.99  4206.81  .507 1.022 1.044    
 4.467E-02 1265.28 1262.35  657.04  602.60  7891.72  7956.02  3936.65  4069.24  .505 1.008 1.034    
 5.012E-02 1223.11 1219.94  636.06  581.02  7558.87  7600.05  3755.23  3841.95  .501 1.005 1.023    
 5.623E-02 1178.26 1174.76  613.81  558.38  7111.01  7177.89  3523.22  3563.74  .496 1.009 1.011    
 6.310E-02 1131.03 1127.03  590.41  534.89  6669.42  6740.23  3303.55  3289.71  .492 1.011  .996    
 7.079E-02 1081.37 1076.89  565.80  510.61  6240.16  6293.99  3096.74  3025.78  .488 1.009  .977    
 7.943E-02 1029.34 1024.51  539.94  485.60  5814.30  5838.76  2892.84  2770.44  .486 1.004  .958    
 8.913E-02  975.11  970.24  512.98  459.99  5382.28  5367.93  2672.64  2520.48  .483  .997  .943    
 1.000E-01  918.99  914.50  485.18  433.93  4946.05  4890.74  2441.83  2277.84  .480  .989  .933    
 1.122E-01  861.38  857.79  456.84  407.59  4501.09  4414.19  2207.27  2045.12  .477  .981  .927    
 1.259E-01  803.11  800.71  428.28  381.14  4014.38  3933.30  1970.59  1825.26  .478  .980  .926    
 1.413E-01  745.37  744.00  399.83  354.74  3514.07  3462.87  1739.26  1619.13  .481  .985  .931    
 1.585E-01  689.09  688.28  371.80  328.54  3032.44  3016.14  1521.62  1425.39  .487  .995  .937    
 1.778E-01  634.73  634.09  344.29  302.85  2607.62  2602.04  1330.78  1236.73  .493  .998  .929    
 1.995E-01  582.34  581.86  317.31  278.01  2236.82  2225.37  1163.34  1058.34  .498  .995  .910    
 2.239E-01  531.99  531.94  290.87  254.30  1912.30  1889.78  1013.01   896.60  .502  .988  .885    
 2.512E-01  483.83  484.43  265.22  231.75  1625.87  1601.97   868.94   761.12  .505  .985  .876    
 2.818E-01  438.01  439.27  240.72  210.24  1374.28  1355.69   734.45   647.54  .506  .986  .882    
 3.162E-01  394.68  396.45  217.63  189.72  1154.60  1143.67   613.28   549.67  .506  .991  .896    
 3.548E-01  353.98  356.05  196.07  170.32   963.19   958.09   508.64   458.55  .503  .995  .902    
 3.981E-01  316.02  318.22  176.07  152.32   797.92   796.79   419.46   376.04  .499  .999  .897    
 4.467E-01  280.85  283.03  157.61  135.88   656.56   658.11   344.78   305.08  .494 1.002  .885    
 5.012E-01  248.49  250.52  140.52  120.83   536.59   540.39   285.73   250.71  .498 1.007  .877    
 5.623E-01  218.91  220.65  124.57  106.86   435.69   441.19   238.43   208.63  .510 1.013  .875    
 6.310E-01  192.04  193.37  109.62   93.77   351.75   357.96   199.02   174.12  .526 1.018  .875    
 7.079E-01  167.74  168.64   95.72   81.65   283.17   287.99   163.22   141.76  .534 1.017  .869    
 7.943E-01  145.82  146.40   83.05   70.71   227.28   229.82   131.51   112.63  .534 1.011  .856    
 8.913E-01  126.12  126.57   71.68   61.06   181.62   182.10   104.46    87.99  .529 1.003  .842    
 1.000E+00  108.54  108.97   61.59   52.58   143.75   143.66    82.37    69.12  .527  .999  .839    
 1.122E+00   92.99   93.42   52.69   45.09   112.72   112.88    64.56    54.66  .528 1.001  .847    
 1.259E+00   79.37   79.75   44.88   38.43    87.73    88.21    50.33    43.21  .532 1.005  .859    
 1.413E+00   67.48   67.83   38.06   32.58    68.18    68.07    39.13    33.39  .532  .998  .853    
 1.585E+00   57.13   57.57   32.12   27.56    52.91    51.91    30.34    25.23  .530  .981  .832    
 1.778E+00   48.12   48.83   26.96   23.35    40.85    39.33    23.37    18.83  .526  .963  .806    
 1.995E+00   40.40   41.35   22.54   19.78    30.88    30.24    17.60    14.43  .524  .979  .820    
 2.239E+00   33.91   34.86   18.86   16.67    22.87    23.58    12.98    11.36  .524 1.031  .875    
