SOLMAX              COS =     1.00                      COS =    -1.00
  -1.15 1.57E-02 1.53E-02 3.17E-02 3.17E-02 1.45E-02 1.42E-02 2.93E-02 2.93E-02
  -1.05 1.69E-02 1.64E-02 3.43E-02 3.44E-02 1.57E-02 1.53E-02 3.17E-02 3.18E-02
  -0.95 1.78E-02 1.72E-02 3.59E-02 3.60E-02 1.65E-02 1.60E-02 3.33E-02 3.34E-02
  -0.85 1.83E-02 1.76E-02 3.61E-02 3.64E-02 1.70E-02 1.64E-02 3.36E-02 3.39E-02
  -0.75 1.81E-02 1.74E-02 3.60E-02 3.62E-02 1.69E-02 1.62E-02 3.35E-02 3.38E-02
  -0.65 1.76E-02 1.72E-02 3.48E-02 3.49E-02 1.64E-02 1.61E-02 3.26E-02 3.27E-02
  -0.55 1.66E-02 1.60E-02 3.32E-02 3.27E-02 1.56E-02 1.50E-02 3.12E-02 3.07E-02
  -0.45 1.56E-02 1.48E-02 3.03E-02 2.99E-02 1.47E-02 1.40E-02 2.85E-02 2.81E-02
  -0.35 1.39E-02 1.31E-02 2.65E-02 2.66E-02 1.31E-02 1.24E-02 2.51E-02 2.52E-02
  -0.25 1.23E-02 1.11E-02 2.29E-02 2.28E-02 1.16E-02 1.06E-02 2.17E-02 2.17E-02
  -0.15 1.01E-02 9.36E-03 1.91E-02 1.91E-02 9.62E-03 8.95E-03 1.83E-02 1.83E-02
  -0.05 8.51E-03 7.59E-03 1.55E-02 1.51E-02 8.14E-03 7.31E-03 1.49E-02 1.45E-02
   0.05 6.63E-03 5.97E-03 1.20E-02 1.20E-02 6.39E-03 5.78E-03 1.16E-02 1.17E-02
   0.15 5.30E-03 4.56E-03 9.26E-03 9.30E-03 5.13E-03 4.45E-03 9.02E-03 9.05E-03
   0.25 4.02E-03 3.46E-03 6.85E-03 6.95E-03 3.92E-03 3.39E-03 6.72E-03 6.81E-03
   0.35 2.95E-03 2.51E-03 5.02E-03 5.04E-03 2.89E-03 2.48E-03 4.95E-03 4.96E-03
   0.45 2.10E-03 1.74E-03 3.63E-03 3.65E-03 2.07E-03 1.73E-03 3.60E-03 3.62E-03
   0.55 1.54E-03 1.32E-03 2.61E-03 2.56E-03 1.53E-03 1.31E-03 2.59E-03 2.54E-03
   0.65 1.05E-03 8.53E-04 1.83E-03 1.84E-03 1.05E-03 8.49E-04 1.83E-03 1.83E-03
   0.75 7.04E-04 5.75E-04 1.26E-03 1.25E-03 7.03E-04 5.74E-04 1.26E-03 1.25E-03
   0.85 4.95E-04 4.02E-04 8.54E-04 8.74E-04 4.94E-04 4.02E-04 8.54E-04 8.73E-04
   0.95 2.92E-04 2.39E-04 5.77E-04 5.60E-04 2.92E-04 2.39E-04 5.77E-04 5.60E-04
SOLMIN              COS =     1.00                      COS =    -1.00
  -1.25 2.35E-02 2.26E-02 4.61E-02 4.66E-02 4.94E-02 4.50E-02 9.84E-02 9.89E-02
  -1.15 2.37E-02 2.31E-02 4.67E-02 4.71E-02 4.74E-02 4.36E-02 9.52E-02 9.53E-02
  -1.05 2.41E-02 2.36E-02 4.93E-02 4.97E-02 4.67E-02 4.35E-02 9.71E-02 9.70E-02
  -0.95 2.48E-02 2.37E-02 5.12E-02 5.09E-02 4.61E-02 4.19E-02 9.52E-02 9.51E-02
  -0.85 2.43E-02 2.34E-02 5.02E-02 5.10E-02 4.32E-02 3.94E-02 8.81E-02 8.82E-02
  -0.75 2.32E-02 2.23E-02 4.91E-02 4.91E-02 3.95E-02 3.54E-02 8.09E-02 8.08E-02
  -0.65 2.16E-02 2.07E-02 4.68E-02 4.65E-02 3.45E-02 3.13E-02 7.28E-02 7.18E-02
  -0.55 1.95E-02 1.85E-02 4.29E-02 4.29E-02 2.98E-02 2.67E-02 6.33E-02 6.30E-02
  -0.45 1.70E-02 1.59E-02 3.79E-02 3.74E-02 2.49E-02 2.18E-02 5.28E-02 5.18E-02
  -0.35 1.41E-02 1.33E-02 3.27E-02 3.17E-02 1.96E-02 1.74E-02 4.32E-02 4.19E-02
  -0.25 1.17E-02 1.05E-02 2.67E-02 2.58E-02 1.56E-02 1.31E-02 3.36E-02 3.24E-02
  -0.15 8.87E-03 7.98E-03 2.11E-02 2.08E-02 1.13E-02 9.51E-03 2.55E-02 2.49E-02
  -0.05 6.65E-03 5.90E-03 1.64E-02 1.59E-02 8.01E-03 6.74E-03 1.87E-02 1.83E-02
   0.05 4.78E-03 4.02E-03 1.20E-02 1.14E-02 5.59E-03 4.51E-03 1.32E-02 1.26E-02
   0.15 3.23E-03 2.92E-03 8.62E-03 8.26E-03 3.59E-03 3.12E-03 9.24E-03 8.83E-03
   0.25 2.18E-03 1.83E-03 6.12E-03 5.67E-03 2.38E-03 1.93E-03 6.34E-03 5.90E-03
   0.35 1.50E-03 1.17E-03 4.11E-03 3.92E-03 1.58E-03 1.22E-03 4.16E-03 4.00E-03
   0.45 8.81E-04 7.05E-04 2.78E-03 2.52E-03 8.94E-04 7.13E-04 2.79E-03 2.55E-03
   0.55 5.56E-04 4.33E-04 1.83E-03 1.67E-03 5.58E-04 4.33E-04 1.83E-03 1.68E-03
   0.65 3.21E-04 2.75E-04 1.20E-03 1.04E-03 3.21E-04 2.77E-04 1.20E-03 1.04E-03
   0.75 1.81E-04 1.51E-04 8.08E-04 6.86E-04 1.81E-04 1.51E-04 8.07E-04 6.86E-04
   0.85 1.04E-04 9.30E-05 5.41E-04 4.50E-04 1.04E-04 9.30E-05 5.41E-04 4.50E-04
   0.95 5.95E-05 4.53E-05 3.33E-04 2.75E-04 5.95E-05 4.53E-05 3.33E-04 2.75E-04
                    COS =     0.75                      COS =    -0.75
  -1.25 2.06E-02 1.98E-02 3.98E-02 3.98E-02 7.43E-02 6.09E-02 1.42E-01 1.43E-01
  -1.15 2.08E-02 2.04E-02 4.12E-02 4.15E-02 6.88E-02 5.79E-02 1.34E-01 1.34E-01
  -1.05 2.20E-02 2.13E-02 4.39E-02 4.43E-02 6.78E-02 5.62E-02 1.33E-01 1.32E-01
  -0.95 2.27E-02 2.18E-02 4.53E-02 4.56E-02 6.46E-02 5.39E-02 1.25E-01 1.25E-01
  -0.85 2.26E-02 2.18E-02 4.54E-02 4.54E-02 5.82E-02 4.95E-02 1.12E-01 1.11E-01
  -0.75 2.16E-02 2.08E-02 4.47E-02 4.48E-02 5.11E-02 4.29E-02 9.83E-02 9.77E-02
  -0.65 2.07E-02 1.99E-02 4.27E-02 4.29E-02 4.37E-02 3.75E-02 8.46E-02 8.46E-02
  -0.55 1.88E-02 1.81E-02 3.99E-02 3.94E-02 3.62E-02 3.13E-02 7.19E-02 7.15E-02
  -0.45 1.67E-02 1.58E-02 3.55E-02 3.50E-02 2.98E-02 2.56E-02 5.85E-02 5.84E-02
  -0.35 1.43E-02 1.33E-02 3.05E-02 3.05E-02 2.36E-02 2.00E-02 4.65E-02 4.62E-02
  -0.25 1.16E-02 1.10E-02 2.58E-02 2.54E-02 1.79E-02 1.53E-02 3.66E-02 3.59E-02
  -0.15 9.49E-03 8.49E-03 2.05E-02 2.01E-02 1.35E-02 1.11E-02 2.71E-02 2.66E-02
  -0.05 7.23E-03 6.32E-03 1.61E-02 1.56E-02 9.48E-03 7.81E-03 2.00E-02 1.94E-02
   0.05 5.38E-03 4.61E-03 1.22E-02 1.16E-02 6.75E-03 5.38E-03 1.42E-02 1.37E-02
   0.15 3.76E-03 3.16E-03 8.85E-03 8.58E-03 4.49E-03 3.60E-03 9.81E-03 9.65E-03
   0.25 2.58E-03 2.17E-03 6.34E-03 5.81E-03 2.87E-03 2.35E-03 6.77E-03 6.25E-03
   0.35 1.69E-03 1.42E-03 4.23E-03 4.11E-03 1.83E-03 1.48E-03 4.39E-03 4.28E-03
   0.45 1.12E-03 9.34E-04 2.94E-03 2.76E-03 1.17E-03 9.49E-04 3.00E-03 2.82E-03
   0.55 6.82E-04 5.70E-04 2.02E-03 1.84E-03 6.91E-04 5.81E-04 2.03E-03 1.85E-03
   0.65 4.18E-04 3.29E-04 1.33E-03 1.19E-03 4.18E-04 3.32E-04 1.33E-03 1.19E-03
   0.75 2.53E-04 2.02E-04 8.48E-04 7.49E-04 2.54E-04 2.01E-04 8.50E-04 7.49E-04
   0.85 1.34E-04 1.15E-04 5.65E-04 4.81E-04 1.34E-04 1.15E-04 5.66E-04 4.81E-04
   0.95 8.40E-05 6.39E-05 3.68E-04 3.15E-04 8.40E-05 6.39E-05 3.68E-04 3.15E-04
                    COS =     0.50                      COS =    -0.50
  -1.25 2.07E-02 2.00E-02 4.10E-02 4.10E-02 5.61E-02 4.43E-02 1.05E-01 1.05E-01
  -1.15 2.17E-02 2.09E-02 4.32E-02 4.31E-02 5.32E-02 4.31E-02 9.88E-02 9.94E-02
  -1.05 2.30E-02 2.23E-02 4.59E-02 4.65E-02 5.21E-02 4.26E-02 9.84E-02 9.89E-02
  -0.95 2.38E-02 2.30E-02 4.78E-02 4.77E-02 4.97E-02 4.13E-02 9.50E-02 9.45E-02
  -0.85 2.41E-02 2.30E-02 4.78E-02 4.82E-02 4.63E-02 3.85E-02 8.60E-02 8.66E-02
  -0.75 2.35E-02 2.25E-02 4.69E-02 4.74E-02 4.14E-02 3.50E-02 7.63E-02 7.74E-02
  -0.65 2.24E-02 2.13E-02 4.49E-02 4.52E-02 3.61E-02 3.09E-02 6.76E-02 6.81E-02
  -0.55 2.10E-02 1.96E-02 4.23E-02 4.19E-02 3.10E-02 2.67E-02 5.91E-02 5.87E-02
  -0.45 1.87E-02 1.76E-02 3.77E-02 3.75E-02 2.59E-02 2.27E-02 4.94E-02 4.98E-02
  -0.35 1.62E-02 1.49E-02 3.22E-02 3.23E-02 2.13E-02 1.83E-02 4.01E-02 4.03E-02
  -0.25 1.34E-02 1.22E-02 2.71E-02 2.70E-02 1.67E-02 1.44E-02 3.23E-02 3.23E-02
  -0.15 1.08E-02 9.64E-03 2.19E-02 2.16E-02 1.29E-02 1.10E-02 2.52E-02 2.48E-02
  -0.05 8.37E-03 7.52E-03 1.72E-02 1.67E-02 9.64E-03 8.28E-03 1.89E-02 1.84E-02
