fit_sk_nue02.dat
     66.834 &      0.925 &           0.00005556
     74.989 &      0.925 &           0.00003705
     84.140 &      0.925 &           0.00002470
     94.406 &      0.925 &           0.00001647
    105.925 &      0.925 &           0.00001098
      0.106 &      0.875 &        1609.92370605
      0.119 &      0.875 &        1474.18737793
      0.133 &      0.875 &        1336.92651367
      0.150 &      0.875 &        1201.48291016
      0.168 &      0.875 &        1060.06616211
      0.188 &      0.875 &         947.41033936
      0.211 &      0.875 &         817.65911865
      0.237 &      0.875 &         698.65606689
      0.266 &      0.875 &         590.23974609
      0.299 &      0.875 &         503.35858154
      0.335 &      0.875 &         419.08465576
      0.376 &      0.875 &         346.51156616
      0.422 &      0.875 &         282.84844971
      0.473 &      0.875 &         229.20256042
      0.531 &      0.875 &         183.54405212
      0.596 &      0.875 &         151.12322998
      0.668 &      0.875 &         117.20062256
      0.750 &      0.875 &          93.19638062
      0.841 &      0.875 &          69.11621094
      0.944 &      0.875 &          53.07281876
      1.059 &      0.875 &          41.46489716
      1.189 &      0.875 &          31.48394012
      1.334 &      0.875 &          22.48198891
      1.496 &      0.875 &          16.79039383
      1.679 &      0.875 &          12.51567936
      1.884 &      0.875 &           9.32227039
      2.113 &      0.875 &           6.61697054
      2.371 &      0.875 &           4.67965794
      2.661 &      0.875 &           3.48008609
      2.985 &      0.875 &           2.45291662
      3.350 &      0.875 &           1.66102469
      3.758 &      0.875 &           1.16265380
      4.217 &      0.875 &           0.82200837
      4.732 &      0.875 &           0.55809647
      5.309 &      0.875 &           0.36753893
      5.957 &      0.875 &           0.25843582
      6.683 &      0.875 &           0.17528090
      7.499 &      0.875 &           0.11921912
      8.414 &      0.875 &           0.08207973
      9.441 &      0.875 &           0.05709560
     10.593 &      0.875 &           0.03729992
     11.885 &      0.875 &           0.02511676
     13.335 &      0.875 &           0.01682465
     14.962 &      0.875 &           0.01121720
     16.788 &      0.875 &           0.00744602
     18.836 &      0.875 &           0.00492435
     21.135 &      0.875 &           0.00324458
     23.714 &      0.875 &           0.00213119
     26.607 &      0.875 &           0.00139597
     29.854 &      0.875 &           0.00091189
     33.497 &      0.875 &           0.00059429
     37.584 &      0.875 &           0.00038651
     42.170 &      0.875 &           0.00025089
     47.315 &      0.875 &           0.00016259
     53.088 &      0.875 &           0.00010520
     59.566 &      0.875 &           0.00006797
     66.834 &      0.875 &           0.00004386
     74.989 &      0.875 &           0.00002828
     84.140 &      0.875 &           0.00001821
     94.406 &      0.875 &           0.00001172
    105.925 &      0.875 &           0.00000753
      0.106 &      0.825 &        1653.47070312
      0.119 &      0.825 &        1515.53881836
      0.133 &      0.825 &        1348.72290039
      0.150 &      0.825 &        1209.61120605
      0.168 &      0.825 &        1080.16210938
      0.188 &      0.825 &         958.07177734
      0.211 &      0.825 &         824.10571289
      0.237 &      0.825 &         718.40161133
      0.266 &      0.825 &         612.68658447
      0.299 &      0.825 &         511.57971191
      0.335 &      0.825 &         421.70159912
      0.376 &      0.825 &         349.47262573
      0.422 &      0.825 &         285.73849487
      0.473 &      0.825 &         233.44386292
      0.531 &      0.825 &         188.54266357
      0.596 &      0.825 &         145.01046753
      0.668 &      0.825 &         120.20469666
      0.750 &      0.825 &          91.58511353
      0.841 &      0.825 &          73.15776062
      0.944 &      0.825 &          54.47434616
      1.059 &      0.825 &          41.56018066
      1.189 &      0.825 &          32.35187149
      1.334 &      0.825 &          23.59305000
      1.496 &      0.825 &          17.32969475
      1.679 &      0.825 &          13.22069359
      1.884 &      0.825 &           9.34979916
      2.113 &      0.825 &           6.66985178
      2.371 &      0.825 &           4.86778355
      2.661 &      0.825 &           3.45763063
      2.985 &      0.825 &           2.48975992
      3.350 &      0.825 &           1.75711381
      3.758 &      0.825 &           1.19980836
