fit_sk_nue02_mx.dat
      0.168 &      0.925 &        1004.32336426
      0.188 &      0.925 &         880.74414062
      0.211 &      0.925 &         756.40747070
      0.237 &      0.925 &         650.32073975
      0.266 &      0.925 &         557.42895508
      0.299 &      0.925 &         462.83383179
      0.335 &      0.925 &         401.00103760
      0.376 &      0.925 &         320.30239868
      0.422 &      0.925 &         266.83822632
      0.473 &      0.925 &         211.73892212
      0.531 &      0.925 &         171.09637451
      0.596 &      0.925 &         138.25694275
      0.668 &      0.925 &         108.04426575
      0.750 &      0.925 &          83.85416412
      0.841 &      0.925 &          64.94438171
      0.944 &      0.925 &          48.33296585
      1.059 &      0.925 &          37.51260376
      1.189 &      0.925 &          29.18740273
      1.334 &      0.925 &          21.56912994
      1.496 &      0.925 &          15.97784138
      1.679 &      0.925 &          11.68919849
      1.884 &      0.925 &           8.60462284
      2.113 &      0.925 &           6.28235579
      2.371 &      0.925 &           4.48552465
      2.661 &      0.925 &           3.11404991
      2.985 &      0.925 &           2.18995595
      3.350 &      0.925 &           1.56940079
      3.758 &      0.925 &           1.03893912
      4.217 &      0.925 &           0.76712090
      4.732 &      0.925 &           0.51633561
      5.309 &      0.925 &           0.35200515
      5.957 &      0.925 &           0.23176493
      6.683 &      0.925 &           0.16090363
      7.499 &      0.925 &           0.11471260
      8.414 &      0.925 &           0.07754803
      9.441 &      0.925 &           0.04939108
     10.593 &      0.925 &           0.03413432
     11.885 &      0.925 &           0.02300395
     13.335 &      0.925 &           0.01547942
     14.962 &      0.925 &           0.01040274
     16.788 &      0.925 &           0.00698240
     18.836 &      0.925 &           0.00468261
     21.135 &      0.925 &           0.00313684
     23.714 &      0.925 &           0.00209982
     26.607 &      0.925 &           0.00140474
     29.854 &      0.925 &           0.00093901
     33.497 &      0.925 &           0.00062734
     37.584 &      0.925 &           0.00041892
     42.170 &      0.925 &           0.00027961
     47.315 &      0.925 &           0.00018655
     53.088 &      0.925 &           0.00012442
     59.566 &      0.925 &           0.00008295
     66.834 &      0.925 &           0.00005529
     74.989 &      0.925 &           0.00003684
     84.140 &      0.925 &           0.00002454
     94.406 &      0.925 &           0.00001634
    105.925 &      0.925 &           0.00001088
      0.106 &      0.875 &        1510.28881836
      0.119 &      0.875 &        1382.72509766
      0.133 &      0.875 &        1255.08520508
      0.150 &      0.875 &        1127.95202637
      0.168 &      0.875 &         995.60754395
